query,query_type,label,cluster,pred
is prozac a controlled,DESCRIPTION,0,17,0
what did lucas black play in as a child,DESCRIPTION,0,-1,0
what is the right temp. for chicken to cook in convention oven,NUMERIC,1,6,1
enterprise sfo phone number,NUMERIC,1,6,1
what is sles,DESCRIPTION,0,17,0
how long would you last in the nfl,NUMERIC,1,6,1
what is the origin of ebola,DESCRIPTION,0,17,0
how long does a bad mark stay on my credit report,NUMERIC,1,6,1
how to cook lamb rib roast,DESCRIPTION,0,17,0
best technique for fileting salmon,DESCRIPTION,0,-1,0
what should i soak trout in before grilling,DESCRIPTION,0,-1,0
what size propane tank for heat,NUMERIC,1,6,1
what is a clue master,DESCRIPTION,0,17,0
what areas of the brain are involved for people who learn a second language later in life?,LOCATION,3,-1,0
what is considered a short layover time,DESCRIPTION,0,-1,1
how much is 20mg of internet in the dominican republic,NUMERIC,1,6,1
define the difference between retention and turnover,DESCRIPTION,0,17,0
how to crochet for chiken,DESCRIPTION,0,17,0
what are legumes,DESCRIPTION,0,17,2
why was paul revere such a big part of the boston massacre,DESCRIPTION,0,17,0
what tests are run to check for donating kidney,ENTITY,2,-1,0
how long does a mourning dove live in captivity?,NUMERIC,1,6,1
causes of upset stomach in teen,DESCRIPTION,0,18,0
how much time is an eon,NUMERIC,1,6,1
illness contained definition,DESCRIPTION,0,17,0
what is maximum credit overload in bmcc,DESCRIPTION,0,17,0
what means ect.,DESCRIPTION,0,17,0
what city is callahan county in,LOCATION,3,0,3
what were the causes of russia's civil war and its outcome,DESCRIPTION,0,-1,0
average weather in pigeon forge tn in feb,NUMERIC,1,6,1
how many carbs is in a calorie,NUMERIC,1,6,1
how many grams in unsifted flour cup,NUMERIC,1,6,1
what does ercp stand for medical,DESCRIPTION,0,17,0
what is chile,DESCRIPTION,0,17,0
what medical term means excessive calcium in the blood,DESCRIPTION,0,-1,2
allergic to kiwi puree,ENTITY,2,-1,2
what is amblyopia,DESCRIPTION,0,17,0
is forza exclusive,DESCRIPTION,0,17,0
when was the hottest temperature ever recorded in the world?,NUMERIC,1,6,1
what number writer was dr seuss,PERSON,4,-1,1
what is a possible score after deuce,DESCRIPTION,0,-1,0
back muscle cramp causes,DESCRIPTION,0,9,0
what is the average temperature in marco island in january,NUMERIC,1,6,1
definition of marijuana drugs,DESCRIPTION,0,17,0
where is argo,LOCATION,3,0,3
likert scale definition,DESCRIPTION,0,17,0
How long is an apple stored before I buy it,NUMERIC,1,6,1
spark control sensor locations on 2007 ram 4.7,DESCRIPTION,0,-1,1
songs you can sing to strangers and lyrics,ENTITY,2,-1,2
how long should i cook roast beef in the oven,NUMERIC,1,6,1
chef who made gordon ramsay cry,PERSON,4,3,4
how wide is your vagina?,NUMERIC,1,6,1
skin effect definition,DESCRIPTION,0,17,0
what is a canadian 100 dollar from 1937 worth today,DESCRIPTION,0,-1,1
how did anna nicole die,DESCRIPTION,0,17,0
how many students attend gates chili,NUMERIC,1,6,1
what is dasheen,DESCRIPTION,0,17,0
how to put army uniform together,DESCRIPTION,0,17,0
diversion law definition,DESCRIPTION,0,17,0
what is the world's longest bridge,LOCATION,3,-1,2
what language do they speak in sweden and norway,ENTITY,2,4,2
what time is it in glendale arizona,NUMERIC,1,6,1
what is the ptz controller connected to?,DESCRIPTION,0,17,0
is lactose sugar fattening,DESCRIPTION,0,17,0
what kind of feet do llamas have,DESCRIPTION,0,-1,2
what is a reference used in a project,DESCRIPTION,0,17,0
what does enrico mean,DESCRIPTION,0,17,0
average hgb levels or count,NUMERIC,1,6,1
how many days was in the mayan calendar?,NUMERIC,1,6,1
microsoft definition of enterprise,DESCRIPTION,0,17,0
where is mexicali located on a map,LOCATION,3,0,3
how long does food keep in refrigerator without power,NUMERIC,1,6,1
what causes parakeets to suddenly die bird disease,ENTITY,2,17,0
what is a mitotic inhibitor,DESCRIPTION,0,17,0
where was glenn campbell born and when,LOCATION,3,0,3
what goddess does the dove represent,ENTITY,2,-1,4
how to become a music engineer,DESCRIPTION,0,17,0
whats a hm2 in the marine corp,DESCRIPTION,0,-1,0
what is the primary purpose for creating a process mapp early in a process improvement,DESCRIPTION,0,17,0
definition of a hostile work environment,DESCRIPTION,0,17,0
what is prosocial behavior,DESCRIPTION,0,17,0
how to cook an egg in the microwave in a bowl,DESCRIPTION,0,17,0
when was nobel prize first awarded,NUMERIC,1,6,1
what pet turtles eat,ENTITY,2,-1,2
what is moonshine drink,ENTITY,2,17,0
define furries,DESCRIPTION,0,17,0
what range do you need for normal magnus,NUMERIC,1,-1,1
where are the angel falls located,LOCATION,3,0,3
are face shields required operating a grinder,DESCRIPTION,0,17,0
when do you have to claim married on taxes,NUMERIC,1,6,1
who is eric bolling from the five?,PERSON,4,3,4
what is a cpr card,DESCRIPTION,0,17,0
what does rashi mean,DESCRIPTION,0,17,0
which of the standard amino acids is achiral?,DESCRIPTION,0,-1,0
how do contacts affect nystagmus,DESCRIPTION,0,17,0
how does calcium enter the cell,DESCRIPTION,0,17,0
who makes sobe,PERSON,4,3,4
what is definition of sunrise,DESCRIPTION,0,17,0
why is harvard one of the best universities in the us,DESCRIPTION,0,-1,0
what is the living well diet,ENTITY,2,17,0
what's a white bap,DESCRIPTION,0,17,0
cost to recharge window unit,NUMERIC,1,6,1
how tall is brad pitt really,NUMERIC,1,6,1
what is the mean of occasional reactive lymphocytes,DESCRIPTION,0,17,0
schedule a dumpster deforest,DESCRIPTION,0,-1,0
what causes older men the inability to empty their bladder,DESCRIPTION,0,17,0
benefits of occupational therapy group,DESCRIPTION,0,13,0
what is the starting price for tesla,NUMERIC,1,6,1
how many veterans in the us,NUMERIC,1,6,1
do you go to jail for manslaughter,DESCRIPTION,0,-1,0
what is the  property tax rate for booneville ky,NUMERIC,1,6,1
when will the new chile plate be released,NUMERIC,1,6,1
benefits of taking egcg,DESCRIPTION,0,13,0
does the court fines and cost come out of state tax refund,DESCRIPTION,0,-1,0
who's mother is ruby in blackish,PERSON,4,3,4
wa car rego cost,NUMERIC,1,6,1
kelly services hyderabad contact number,NUMERIC,1,6,1
what can you do as a registered dietitian,DESCRIPTION,0,17,0
how to cook marinated steak,DESCRIPTION,0,17,0
what is philomath,DESCRIPTION,0,17,0
how old do you have to be to get a tattoo nj,NUMERIC,1,6,1
common foods containing lipase enzymes,ENTITY,2,-1,2
is the luminara flameless candles remote universal?,DESCRIPTION,0,17,0
how long do trademarks last,NUMERIC,1,6,1
when is the moon at the highest point,NUMERIC,1,6,1
explain the purpose of the alpha suffix attached to the medicare id number,DESCRIPTION,0,-1,0
goosebumps meaning in urdu,DESCRIPTION,0,17,0
"what causes water to enter toilet bowl, then run out?",DESCRIPTION,0,17,0
when will thor: ragnarok reach dvd,NUMERIC,1,6,1
how many scales on a military protractor,NUMERIC,1,6,1
when inspection underground rough in plumbing what is required,NUMERIC,1,-1,0
genetic testing for inherited disease,ENTITY,2,-1,0
when was this song made,NUMERIC,1,6,1
when pregnant how much caffeine can you have,NUMERIC,1,6,1
which food is good for pregnant women,ENTITY,2,-1,2
how often should i get my eyes checked,NUMERIC,1,6,1
how deep does fracking go,NUMERIC,1,6,1
how to discontinue subscription on amazon,DESCRIPTION,0,17,0
does the google vr come with a strap,DESCRIPTION,0,17,0
what could make your scalp feel tender,DESCRIPTION,0,17,0
how to block your likes on facebook,DESCRIPTION,0,17,0
is bromelain acidic,DESCRIPTION,0,17,0
what divides an angle into two congruent angles?,DESCRIPTION,0,17,0
what is the exterior of a car made of,ENTITY,2,-1,0
is it safe to drink opened bottled water stored at room temperature?,DESCRIPTION,0,17,0
comcast xfinity customer service number cancellation,NUMERIC,1,6,1
"how long ride from galaxidi, greece to delphi, greece",NUMERIC,1,6,1
does herbalife cause cancer,DESCRIPTION,0,17,0
the escapist how to use contraband pouch,DESCRIPTION,0,-1,0
average income for emt-b,NUMERIC,1,6,1
how long is check valid,NUMERIC,1,6,1
what is an eye floater,DESCRIPTION,0,17,0
what does it mean when the state pension rate increases,DESCRIPTION,0,-1,0
what is are causes of als,DESCRIPTION,0,17,0
where is the range of a pine snake,LOCATION,3,0,3
accrual loans definition,DESCRIPTION,0,17,0
pronunciation of table of 2,DESCRIPTION,0,-1,0
when was teletubbies created,NUMERIC,1,6,1
what education is needed to become a marine biologist,DESCRIPTION,0,-1,0
do you get taxed when in full time education,NUMERIC,1,-1,0
what was the purpose of the monroe doctrine that roosevelt referenced,DESCRIPTION,0,17,0
where is dna stored in eukaryotic cell,LOCATION,3,0,3
where do lobster live,LOCATION,3,0,3
how much do daylilies cost,NUMERIC,1,6,1
chronological list of roman rulers crispus,PERSON,4,-1,2
how is pregnancy detected in blood?,DESCRIPTION,0,17,0
how long employment background check take,NUMERIC,1,6,1
what does a gametophyte produce quizlet,DESCRIPTION,0,17,0
phone number for the benton library,NUMERIC,1,6,1
japanese boy last names and meanings,DESCRIPTION,0,-1,0
is awoken horrors ability blue,DESCRIPTION,0,17,0
"what bay is foilareal bay, co. cork, ireland near",PERSON,4,-1,3
what is a provider directory,DESCRIPTION,0,17,0
what is the title commitment requirement for the use of a power of attorney,DESCRIPTION,0,17,0
what to say on sympathy card for loss of mother,DESCRIPTION,0,-1,0
average cost of Nevada professional courtesan one hour,NUMERIC,1,6,1
is group therapy for me,DESCRIPTION,0,17,0
what do the lumbar artery supply,DESCRIPTION,0,17,0
what is region esti,DESCRIPTION,0,-1,0
what is a good thing about opium,DESCRIPTION,0,-1,0
what system is the radiator parts of,DESCRIPTION,0,-1,0
what is a incentive training,DESCRIPTION,0,17,0
what is broadband?,DESCRIPTION,0,17,0
great lakes rising water levels,ENTITY,2,-1,1
emission fix average mileage change,NUMERIC,1,6,1
what is lemon curd,DESCRIPTION,0,17,0
how to cook brat in oven,DESCRIPTION,0,17,0
what type of government did lenin call for who will form it,PERSON,4,-1,0
when is blood inr too thick,NUMERIC,1,6,1
lending note definition,DESCRIPTION,0,17,0
latin america slow population rate,NUMERIC,1,-1,1
weather scotland weekend forecast,NUMERIC,1,-1,0
what systems are included in the circulatory system,DESCRIPTION,0,-1,0
default startup,DESCRIPTION,0,-1,0
what is the weather forecast for tulsa ok,NUMERIC,1,-1,1
what does medical term nash mean,DESCRIPTION,0,17,0
how are eyeglass frames measured,DESCRIPTION,0,17,0
what is clavamox for humans,DESCRIPTION,0,17,0
what is an ability,DESCRIPTION,0,17,0
why cant i print my emails on windows 10,DESCRIPTION,0,-1,0
do saliva tests detect blood,DESCRIPTION,0,17,0
what is knox gelatin made of,ENTITY,2,-1,2
what type of stress is most closely associated with transform faults,DESCRIPTION,0,-1,0
what's the weather like in hoover dam in the month of october,DESCRIPTION,0,-1,0
what county is norwalk ca located in,LOCATION,3,0,3
when was war declared on germany in ww2,NUMERIC,1,6,1
columbia state park hours,LOCATION,3,-1,3
what happens when us treasury buys,DESCRIPTION,0,17,0
what is hsv2 cause herpes,DESCRIPTION,0,17,0
why is attribution important,DESCRIPTION,0,17,0
how many nhl teams are there?,NUMERIC,1,6,1
"who held a lawn party and everyone played badminton, where rules were made up and played then by all major european countries.",PERSON,4,3,4
Antipsychotic drugs also are called,ENTITY,2,-1,2
do you still breathe after death,DESCRIPTION,0,-1,0
how do i obtain previous tax returns,DESCRIPTION,0,17,0
what are independent and dependent variables? which one do we modify during an experiment?,DESCRIPTION,0,-1,0
old fashion remedy how to bring a boil to a head,DESCRIPTION,0,-1,0
which is the right side  of a car,DESCRIPTION,0,-1,0
what is the difference between organization and framework,DESCRIPTION,0,17,0
what can cause cramps in toes,DESCRIPTION,0,17,0
auxin definition biology,DESCRIPTION,0,17,0
what were the ages of hepburn and tracy when they made woman of the year,NUMERIC,1,6,1
what year did the sixpenny piece cease to be legal tender,NUMERIC,1,6,1
which side up a dvd is up,DESCRIPTION,0,-1,0
who is eda j. le shan,PERSON,4,3,4
average job salaries 2016,NUMERIC,1,6,1
what causes decef infections,DESCRIPTION,0,17,0
explain what happens in the electron transport chain,DESCRIPTION,0,-1,0
is aspirin adequate treatment for paf?,DESCRIPTION,0,17,0
average age to have a baby,NUMERIC,1,6,1
when did the Battle of Ortona happen,NUMERIC,1,6,1
how old were you at onset of menstruation,NUMERIC,1,6,1
where is calcium stored,LOCATION,3,0,3
which degree wedges,ENTITY,2,-1,0
what language is karenni,ENTITY,2,4,2
what moves does pikachu learn,DESCRIPTION,0,-1,0
what are the duties of the house majority whip?,DESCRIPTION,0,-1,0
why miralax and gatorade prep not approved,DESCRIPTION,0,17,0
what is draughts?,DESCRIPTION,0,17,0
when do employers need to send out w-2's,NUMERIC,1,6,1
who is frymer-kensky?,PERSON,4,3,4
how can i get my 21 year old horse into shap,DESCRIPTION,0,17,0
The first political party to hold a national convention to nominate a presidential candidate was,PERSON,4,-1,4
what was the age of reason by thomas paine about,NUMERIC,1,-1,1
what was the first airport in the u.s,LOCATION,3,0,3
what size of the hails would cause car damages?,NUMERIC,1,6,1
how much has obama spent on vacations,NUMERIC,1,6,1
stool softener definition,DESCRIPTION,0,17,0
average gre score for university of houston phd program in psychology,NUMERIC,1,6,1
who brought dustin johnson into golf,PERSON,4,3,4
which president created the farewell address,PERSON,4,-1,4
what is canine booster dhpp,DESCRIPTION,0,17,0
can dispenser rack plans,DESCRIPTION,0,17,0
who makes hobbs lights,PERSON,4,3,4
is abilify taken every day,DESCRIPTION,0,-1,0
what c-shaped structure in the nephron surrounds the glomerulus,DESCRIPTION,0,-1,0
how to eliminate medical debt,DESCRIPTION,0,17,0
insoluble fiber foods,ENTITY,2,-1,2
who is rick metzger,PERSON,4,3,4
can i use lenovo a916 as remote for tv,DESCRIPTION,0,17,0
can employer contribute to fsa for employees,DESCRIPTION,0,17,0
what is network cle,DESCRIPTION,0,17,0
what type of warning systems are in place for an earthquake,DESCRIPTION,0,-1,0
what happens when the body releases perspiration?,DESCRIPTION,0,17,0
"what county is fayetteville, nc in",LOCATION,3,0,3
do humans have dorsal nerve cord notochord,DESCRIPTION,0,17,0
what is china's form of  currency,ENTITY,2,-1,2
is a physician who specializes in diagnosing and treating diseases and disorders of the skin,PERSON,4,-1,4
what do birthmarks mean,DESCRIPTION,0,17,0
when did the twin towers get built,NUMERIC,1,6,1
what was release date for movie bound for glory,NUMERIC,1,6,1
what is an activity cost driver,DESCRIPTION,0,17,0
who is legal guardian to a child?,PERSON,4,3,4
is boxwood deer resistant,DESCRIPTION,0,17,0
assumption of guilt definition,DESCRIPTION,0,17,0
what is causing my heart to pound,DESCRIPTION,0,17,0
Capital of Chile,LOCATION,3,-1,3
most common hernia in women,ENTITY,2,-1,2
what is slang for bookends,DESCRIPTION,0,17,0
why do medical people want to know marital status,DESCRIPTION,0,17,0
what is the original name forn lemon,ENTITY,2,12,2
protocol definition,DESCRIPTION,0,17,0
what cars are parked in the enterprise emerald isle,ENTITY,2,-1,2
which would show an example of how physical changes are reversible?,DESCRIPTION,0,-1,0
what percentage of wages should be withheld,NUMERIC,1,6,1
what is insect rearing,DESCRIPTION,0,17,0
where does the last name sanders originate from,LOCATION,3,0,3
systematic name for hydroxyapatite,DESCRIPTION,0,-1,2
what is a gondola,DESCRIPTION,0,17,0
how long do i cook bread in a 9x13,NUMERIC,1,6,1
what are the most expensive kind of nuts,ENTITY,2,-1,2
best dog food for dogs with environmental allergies,ENTITY,2,-1,2
requirements for a pilot career,DESCRIPTION,0,-1,0
who is channing tatum mother,PERSON,4,3,4
how does amazon subscription work,DESCRIPTION,0,17,0
what is the database splitter used to divide? quizlet,DESCRIPTION,0,-1,0
how many weekend is in a year?,NUMERIC,1,6,1
worst foods for rheumatoid arthritis,ENTITY,2,-1,2
cost of paver patio vs. concrete patio,NUMERIC,1,6,1
symptoms of dystonia,ENTITY,2,10,2
what causes diarrhea immediately after eating,DESCRIPTION,0,17,0
what is a lease agent,DESCRIPTION,0,17,0
what show is the yee dinosaur from,ENTITY,2,-1,2
can you use the euro in romania,DESCRIPTION,0,17,0
how did jean-jacques rousseau die,DESCRIPTION,0,17,0
who is the wife of barack  obama?,PERSON,4,3,4
how long does it take for IRS to acknowledge receipt of posted tax return,NUMERIC,1,6,1
what provides the tension necessary in an alkaline wave?,DESCRIPTION,0,17,0
how to find maximum and minimum values on computer,DESCRIPTION,0,17,0
what is the rollover amount for powerball 5 april 2016,NUMERIC,1,6,1
what widgth is the fuselage of a boeing 767,ENTITY,2,-1,2
msho insurance definition,DESCRIPTION,0,17,0
at what depth do catch walleye on oahe in july,NUMERIC,1,-1,1
define emancipation proclamation,DESCRIPTION,0,17,0
any penalty for transferring roth ira?,DESCRIPTION,0,-1,1
what is voluntary accident plan,DESCRIPTION,0,17,0
average annual salary uk,NUMERIC,1,6,1
what language is karenni,ENTITY,2,4,2
what does sa nina means,DESCRIPTION,0,17,0
automation lambda functions,DESCRIPTION,0,-1,0
what is the meaning of spies cannelle,DESCRIPTION,0,17,0
good food to bring for lunch at work,DESCRIPTION,0,-1,1
can sky/yahoo see my email contacts and messages,DESCRIPTION,0,17,0
cause of belly aches girls,DESCRIPTION,0,-1,0
how much does a psychologist make per year,NUMERIC,1,6,1
what is the google settings app,DESCRIPTION,0,17,0
what is the area between a male's scrotum and anus called,DESCRIPTION,0,-1,0
what does memorial day,DESCRIPTION,0,17,0
most radioactive thing on earth,ENTITY,2,-1,2
"how many toll roads are between tulsa and ft leonard wood, mo?",NUMERIC,1,6,1
what team is gerald on,PERSON,4,-1,4
is lexapro good to treat ocd,DESCRIPTION,0,17,0
loratadine side effects long term use,DESCRIPTION,0,-1,0
do soft paws work for rabbits,DESCRIPTION,0,17,0
what is the plant bacteria that goes under the skin?,ENTITY,2,-1,2
typical age for gout,NUMERIC,1,6,1
how long does marinara sauce last in fridge,NUMERIC,1,6,1
how much does a ballet dancer make,NUMERIC,1,6,1
cast of zapped,PERSON,4,2,4
average lifespan in new testament times,NUMERIC,1,6,1
what is sean evans?,DESCRIPTION,0,-1,0
how long should tubes for growing peaches be,NUMERIC,1,6,1
what does hedonic mean,DESCRIPTION,0,17,0
what is a phenotype?,DESCRIPTION,0,17,0
how many atp are made from acetyl coa,NUMERIC,1,6,1
what is considered the gold standard for determining body composition,DESCRIPTION,0,-1,0
what state must a trust file a tax return,LOCATION,3,0,3
which is the married finger,DESCRIPTION,0,-1,0
"what show was the theme song , let me tell you about my best friend from ??",ENTITY,2,-1,2
define subsidized,DESCRIPTION,0,17,0
can kidneys be repaired within the human body?,DESCRIPTION,0,17,0
what does the core do in the earth,DESCRIPTION,0,17,0
victory lane imports used car sales manager,PERSON,4,-1,4
when there is a leak around a chimney where is it usually located,NUMERIC,1,-1,3
cost of a bearcat armored vehicle,NUMERIC,1,6,1
what is the highest iq recorded,NUMERIC,1,-1,1
what is getcomponent function,DESCRIPTION,0,17,0
usps bash st phone number,NUMERIC,1,6,1
average cost of a trust?,NUMERIC,1,6,1
what is tasc program,DESCRIPTION,0,17,0
what is sustainment action mean?,DESCRIPTION,0,17,0
what is airfield operations,DESCRIPTION,0,17,0
what is the active ingredient in butterbur for migraines,ENTITY,2,17,2
what do you mean by stigma,DESCRIPTION,0,17,0
what does catalase positive indicate,DESCRIPTION,0,17,0
what is the claim in a lab report,DESCRIPTION,0,17,0
wowhaus design,DESCRIPTION,0,-1,0
aggregate functions in where clause,DESCRIPTION,0,-1,0
who sang the original song cry me a river,PERSON,4,3,4
where is ohio university,LOCATION,3,0,3
what is home warranty buyout,DESCRIPTION,0,17,0
what is perfection software,DESCRIPTION,0,17,0
what is another word for confusion,DESCRIPTION,0,17,0
how to replace andis drive assembly,DESCRIPTION,0,17,0
how long can fresh salmon be refrigerated,NUMERIC,1,6,1
inventor 2015 install - an internet connection,PERSON,4,-1,0
when did world war one start,NUMERIC,1,6,1
what vitamins to take for vision,ENTITY,2,-1,2
what wire rollers for aluminum gmaw,ENTITY,2,-1,2
how long after shooting up meth stay in your system,NUMERIC,1,6,1
cost of e cigarette,NUMERIC,1,6,1
who's the most beautiful in the world,PERSON,4,3,4
transgender male to female surgery cost,NUMERIC,1,6,1
what kind of cedar is used for grilling salmon,ENTITY,2,-1,2
types of motor starters,DESCRIPTION,0,-1,0
what is tilapia fish made of,ENTITY,2,17,2
how much do you have make before you have to file taxes,NUMERIC,1,6,1
samsung galaxy tab nook how to root,DESCRIPTION,0,17,0
what is bitcoin news,DESCRIPTION,0,17,0
causes of secondary htn,DESCRIPTION,0,18,0
what is the maximum social security disability benefit amount an insured can receive?quizlet,NUMERIC,1,-1,1
what is the percent of students that pay student debt,NUMERIC,1,6,1
adverse device effect,DESCRIPTION,0,-1,0
where is t mobile arena in vegas,LOCATION,3,0,3
what kind of hat does brantley gilbert wear,ENTITY,2,-1,2
how fast do horses hooves grow,NUMERIC,1,6,1
how to center a picture in css,DESCRIPTION,0,17,0
why am i eating so much after post laparoscopic surgery,DESCRIPTION,0,17,0
cost for the leaning tower of pisa,NUMERIC,1,6,1
what waves travel through the earth's core,DESCRIPTION,0,-1,0
how far apart do white pines need to be spaced,NUMERIC,1,6,1
what are the kinds of buses,DESCRIPTION,0,17,0
what does enzyme immunoassay mean,DESCRIPTION,0,17,0
what does glucose serum mean in a blood test,DESCRIPTION,0,17,0
what is the frequency of the alternating current?,NUMERIC,1,6,1
how long is the nmls license good for,NUMERIC,1,6,1
types of spraying gun early,DESCRIPTION,0,-1,0
how much is 128 fl ounces,NUMERIC,1,6,1
can a va funding fee be financed when doing an irrrl,NUMERIC,1,-1,0
is a physical therapy assistant license required in maine,DESCRIPTION,0,-1,0
what are beta blockers used for anxiety,DESCRIPTION,0,17,0
causes of yellow urine in women,DESCRIPTION,0,18,0
how much did a microwave cost in?,NUMERIC,1,6,1
what is illinois motto,DESCRIPTION,0,-1,0
what is melatonin supplement,DESCRIPTION,0,17,0
what are the two main jet streams,DESCRIPTION,0,17,0
do brand name companies want to do business in Iran,DESCRIPTION,0,-1,0
what are the forces on charges,DESCRIPTION,0,17,0
define ideological,DESCRIPTION,0,17,0
what is male hegemony,DESCRIPTION,0,17,0
what is chav,DESCRIPTION,0,17,0
why are coal electric and oil called fossil fuels,DESCRIPTION,0,17,0
what does termination mean,DESCRIPTION,0,17,0
what renaissance women learned in school/,PERSON,4,-1,0
what is the device used to read the temperature?,ENTITY,2,-1,0
what measurement on other side of ruler?,DESCRIPTION,0,-1,0
what kind of test do you do to check gallbladder?,DESCRIPTION,0,-1,0
do i need a building permit for my double wide,DESCRIPTION,0,-1,0
time interval after a wound to get a tetanus shot,NUMERIC,1,6,1
what day did the empire ofstate building open,NUMERIC,1,-1,1
when do the majority of strokes occur,NUMERIC,1,6,1
what causes wilting in plants,DESCRIPTION,0,17,0
what is osmanthus,DESCRIPTION,0,17,0
define eccentricity,DESCRIPTION,0,17,0
"which term names a character, situation, or symbol that appears in many cultures?",ENTITY,2,-1,2
how far between chicago and charlotte,NUMERIC,1,6,1
what is the purpose of martial arts forms,DESCRIPTION,0,17,0
what age should a girl start developing breasts,NUMERIC,1,6,1
cost of drywall sheets,NUMERIC,1,6,1
what did owners use to stamp slaves,PERSON,4,-1,2
can marijuana lower your potassium,DESCRIPTION,0,17,0
medication for skin yeast infection,ENTITY,2,-1,2
meaning of name christina marie,DESCRIPTION,0,17,0
how does a canticle for leibowitz change a person's perspective on life,DESCRIPTION,0,17,0
what type of poem is grass,ENTITY,2,-1,0
how to figure out how much more to pay on your principle to pay loan faster,DESCRIPTION,0,17,0
cost of replacing patio,NUMERIC,1,6,1
what manufacturers beauty products are the best,PERSON,4,-1,4
which state is ks,LOCATION,3,0,3
"what nationality is diana gabaldon, writer of outlander books",PERSON,4,-1,4
what nationality is arnold palmer,DESCRIPTION,0,-1,4
can you copyright a design for food,DESCRIPTION,0,17,0
when did thatcher rule,NUMERIC,1,6,1
does listerine whitening mouthwash work,DESCRIPTION,0,17,0
core hours policy,DESCRIPTION,0,-1,0
what movie is the song true blue on?,ENTITY,2,-1,2
how many mg of sodium is in a tsp,NUMERIC,1,6,1
what are the income taxes on pensions?,NUMERIC,1,-1,1
who sings theme song to the cable girls,PERSON,4,3,4
valium how long stays in system,NUMERIC,1,6,1
can i reset my xbox to factory settings,DESCRIPTION,0,17,0
when did harriet tubman rescue her parents,NUMERIC,1,6,1
does OSHA do inspections in restaurants,DESCRIPTION,0,17,0
what is environmental monitoring,DESCRIPTION,0,17,0
monocline geology definition,DESCRIPTION,0,17,0
who is thomas pinckney,PERSON,4,3,4
kaizen what is spa,DESCRIPTION,0,-1,0
can sarcoidosis cause arthritis,DESCRIPTION,0,17,0
does debonne winery have a place for a reception,DESCRIPTION,0,-1,0
"oakhurst, ca average low temperature",NUMERIC,1,6,1
top 10 facts about disney infinity,DESCRIPTION,0,-1,0
definition of hiv aids,DESCRIPTION,0,17,0
what language do they speak in reykjavik,ENTITY,2,-1,2
describe the blood brain barrier,DESCRIPTION,0,17,0
what size of clips to use on a fade?,NUMERIC,1,6,1
how do you freeze fresh blueberries,DESCRIPTION,0,17,0
what is reverse factoring,DESCRIPTION,0,17,0
is professional bleaching safe for your teeth,DESCRIPTION,0,17,0
how long until dissolvable stitches dissolve,NUMERIC,1,6,1
what is external display mixer,DESCRIPTION,0,17,0
did debussy like dr gradus ad parnassum,DESCRIPTION,0,-1,0
which are the best laptop and tablet combo,ENTITY,2,-1,2
what programming language does wix use?,ENTITY,2,-1,2
the largest torpedo in the world,ENTITY,2,-1,4
how much is cesar palace net worth,NUMERIC,1,6,1
the meaning of complying,DESCRIPTION,0,17,0
equine bute powder,ENTITY,2,-1,2
what change in state occurs when a solid turns directly into a gas and skips the liquid state,DESCRIPTION,0,-1,0
what is the path of protein synthesis?-,DESCRIPTION,0,17,0
can you delay puberty in boys,DESCRIPTION,0,17,0
how to plant sunflower seed,DESCRIPTION,0,17,0
wakemed general surgery hours of operation,NUMERIC,1,-1,1
sleep apnea evidence for va claim after retirement,DESCRIPTION,0,-1,0
what is personal tax deduction,DESCRIPTION,0,17,0
how much money do athletic trainers make,NUMERIC,1,6,1
us army signal corps mos,DESCRIPTION,0,-1,0
when should oregano be harvested and dried,NUMERIC,1,6,1
what can you do if thyroid medication is causing tremors and shakiness,DESCRIPTION,0,17,0
what is a zec,DESCRIPTION,0,17,0
how many sperm are produced by the average human male?,NUMERIC,1,6,1
orienting principle means,DESCRIPTION,0,17,0
where is carnival glory ship,LOCATION,3,0,3
how to frame a big wooden gate for rv parking,DESCRIPTION,0,17,0
what district is magazine street,LOCATION,3,0,3
how do volcanoes affect the carbon cycle,DESCRIPTION,0,17,0
what is an example of a watershed,DESCRIPTION,0,17,0
what county is vienna sd in,LOCATION,3,0,3
what is msn url,DESCRIPTION,0,17,0
glutamate is found in what foods,ENTITY,2,-1,2
what is eukaryote,DESCRIPTION,0,17,0
how many students think science is hard,NUMERIC,1,6,1
how to naturally increase non hdl cholesterol,DESCRIPTION,0,17,0
meaning of armed to the teeth,DESCRIPTION,0,-1,0
republican debate schedule,DESCRIPTION,0,-1,0
what county is dyess afb tx,LOCATION,3,0,3
what is fraternal polyandry,DESCRIPTION,0,17,0
how to renew a polish passport,DESCRIPTION,0,17,0
+what was the first sequal to win an academy award,PERSON,4,-1,4
fiora cost,NUMERIC,1,6,1
hometown definition,LOCATION,3,17,0
pacomio name meaning,DESCRIPTION,0,17,0
when was petra built and by whom or who was it built,NUMERIC,1,-1,1
how many chromosomes are in a typical human body call,NUMERIC,1,6,1
cost of dog boarding in schertz,NUMERIC,1,6,1
calories in sonny's sliced pork,NUMERIC,1,6,1
how long does it take to be notified after applying for ssdi and after seeing a disability doctor,NUMERIC,1,6,1
how long does a dragonfly live,NUMERIC,1,6,1
what are household liquid assets,DESCRIPTION,0,17,0
can i check in at airport a day before my flight,DESCRIPTION,0,-1,0
is st patrick's day a catholic holiday,DESCRIPTION,0,-1,0
